"id","adu_numero","adu_seccion","adu_denomina"
"42","24","0","NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS."
"43","24","","ESTACION SANCHEZ, NUEVO LAREDO, TAMAULIPAS"
"44","24","","AEROPUERTO INTERNACIONAL DE NUEVO LAREDO "
"45","25","0","OJINAGA, OJINAGA, CHIHUAHUA."
"46","26","0","PUERTO PALOMAS, PUERTO PALOMAS, CHIHUAHUA."
"47","27","0","PIEDRAS NEGRAS, PIEDRAS NEGRAS, COAHUILA."
"48","27","1","AEROPUERTO INTERNACIONAL PLAN DE GUADALUPE, RAMOS ARIZPE, COAHUILA."
"49","27","","RIO ESCONDIDO, NAVA, COAHUILA."
"50","28","0","PROGRESO, PROGRESO, YUCATAN."
"51","28","2","AEROPUERTO INTERNACIONAL LIC. MANUEL CRESCENCIO REJON, MERIDA, YUCATAN."
"52","30","0","CIUDAD REYNOSA, CIUDAD REYNOSA, TAMAULIPAS."
"53","30","2","LAS FLORES, RIO BRAVO, TAMAULIPAS."
"54","30","4","AEROPUERTO INTERNACIONAL GENERAL. LUCIO BLANCO, CIUDAD REYNOSA, TAMAULIPAS."
"55","30","5","RIO BRAVO-DONNA, RIO BRAVO, TAMAULIPAS."
"56","30","6","ANZALDUAS, CIUDAD REYNOSA, TAMAULIPAS."
"57","31","0","SALINA CRUZ, SALINA CRUZ, OAXACA."
"58","31","1","AEROPUERTO INTERNACIONAL DE OAXACA, SANTA CRUZ XOXOCOTLAN, OAXACA."
"59","33","0","SAN LUIS RIO COLORADO, SAN LUIS RIO COLORADO, SONORA."
"60","34","0","CIUDAD MIGUEL ALEMAN, CIUDAD MIGUEL ALEMAN, TAMAULIPAS."
"61","34","2","GUERRERO, GUERRERO, TAMAULIPAS."
"62","37","0","CIUDAD HIDALGO, CIUDAD HIDALGO, CHIAPAS."
"63","37","2","CIUDAD TALISMAN, TUXTLA CHICO, CHIAPAS."
"64","37","6","CIUDAD CUAUHTEMOC, FRONTERA COMALAPA, CHIAPAS."
"65","37","5","PUERTO CHIAPAS, TAPACHULA, CHIAPAS."
"66","37","","AEROPUERTO INTERNACIONAL DE TAPACHULA, TAPACHULA, CHIAPAS."
"67","38","0","TAMPICO, TAMPICO, TAMAULIPAS."
"68","39","0","TECATE, TECATE, BAJA CALIFORNIA."
"69","40","0","TIJUANA, TIJUANA, BAJA CALIFORNIA."
"70","40","2","AEROPUERTO INTERNACIONAL GENERAL ABELARDO L. RODRIGUEZ, TIJUANA, BAJA CALIFORNIA."
"71","42","0","TUXPAN, TUXPAN DE RODRIGUEZ CANO, VERACRUZ."
"72","42","1","TUXPAN, TUXPAN, VERACRUZ."
"73","43","0","VERACRUZ, VERACRUZ, VERACRUZ."
"74","43","2","AEROPUERTO INTERNACIONAL GENERAL HERIBERTO JARA CORONA, VERACRUZ, VERACRUZ."
"75","44","0","CIUDAD ACU"
"76","46","0","TORREON, TORREON, COAHUILA."
"77","46","","GOMEZ PALACIO, GOMEZ PALACIO, DURANGO."
"78","46","","AEROPUERTO INTERNACIONAL GENERAL GUADALUPE VICTORIA, DURANGO, DURANGO."
"79","46","1","AEROPUERTO DE TORRE"
"80","46","2","GOMEZ PALACIO, GOMEZ PALACIO, DURANGO."
"81","46","3","AEROPUERTO INTERNACIONAL GENERAL GUADALUPE VICTORIA, DURANGO, DURANGO."
"82","47","0","AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO,"
"83","47","1","SATELITE, PARA IMPORTACION Y EXPORTACION POR VIA AEREA, AEROPUERTO INTERNACIONAL BENITO JUAREZ DE LA CIUDAD DE MEXICO."
"84","47","2","CENTRO POSTAL MECANIZADO, POR VIA POSTAL Y POR TRAFICO AEREO, AEROPUERTO INTERNACIONAL BENITO JUAREZ DE LA CIUDAD DE MEXICO."
"85","48","0","GUADALAJARA, TLACOMULCO DE ZU"
